path,nearest_neighbor_distance_mean,nearest_neighbor_distance_median,nearest_neighbor_distance_min,nearest_neighbor_distance_max,nearest_neighbor_distance_mean_1090percentile,nearest_neighbor_distance_median_1090percentile,nearest_neighbor_distance_min_1090percentile,nearest_neighbor_distance_max_1090percentile,relational_similarity,close_value_ratio_0.1,close_value_ratio_1090percentile_0.1,close_value_ratio_0.2,close_value_ratio_1090percentile_0.2,close_value_ratio_0.3,close_value_ratio_1090percentile_0.3,close_value_ratio_0.4,close_value_ratio_1090percentile_0.4,close_value_ratio_0.5,close_value_ratio_1090percentile_0.5,similarity_ratio,nearest_neighbor_accuracy,gmm_log_likelihood,detection_rate_xgb_mean,detection_rate_xgb_max,detection_rate_xgb_min,nearest_neighbors_aia_closest_True__match_error__PINCP,nearest_neighbors_aia_closest_True__range_overlap__PINCP,nearest_neighbors_aia_closest_True__guess_in_range__PINCP,nearest_neighbors_aia_closest_False__match_error__PINCP,nearest_neighbors_aia_closest_False__range_overlap__PINCP,nearest_neighbors_aia_closest_False__guess_in_range__PINCP,qid_ml_aia__match_error__PINCP,qid_ml_aia__range_overlap__PINCP,qid_ml_aia__guess_in_range__PINCP
../output/ACSIncome/privacy/Synthetic/ddpm_0_syn.json,0.32007136940956116,0.3255862295627594,0.0,0.5820043087005615,0.32096803188323975,0.32510727643966675,0.19793252646923065,0.4330716133117676,0.95,0.011435880073731333,0.0,0.12718654779370275,0.03964737161248193,0.394199300304706,0.37072624656000747,0.7766993943497724,0.8450020989784971,0.9837113945002445,1.0,0.03223864876048602,0.9650152353007562,-8.865376587230898,0.9771634843735156,0.9777714448560844,0.9762325448845826,66248.48324116918,0.6304244552740372,0.7282849941692059,52112.4757927999,0.667236155740911,0.7956588797351691,54974.31571388718,0.6548215612892061,0.7496520332543355
../output/ACSIncome/privacy/Synthetic/tvae_4_syn.json,0.23695644736289978,0.21687236428260803,0.0,0.5551909804344177,0.23374967277050018,0.21662412583827972,0.1768127679824829,0.3316623866558075,0.9230769230769231,0.05586276943911522,0.0,0.41955385020501823,0.40725806451612906,0.7885490727156453,0.8618835743418614,0.9684760937441221,1.0,0.9990219313094835,1.0,0.1376819772034759,0.8938043110258436,-3.8455936744960786,0.9674741141825781,0.9677400968937019,0.9669991450555714,48274.53846443215,0.6640082673630187,0.8325245457623293,38254.579091900836,0.7173931534857075,0.8688259413911146,40971.154467474465,0.6759335215358158,0.8393334085693864
../output/ACSIncome/privacy/Synthetic/ctgan_0_syn.json,0.19564983248710632,0.19767461717128754,0.0,0.5078654289245605,0.1956682652235031,0.19767461717128754,0.094050832092762,0.2671058773994446,0.975609756097561,0.11511116126847985,0.023500280321435245,0.6398073957040213,0.6751541767893852,0.9305571229733288,1.0,0.9948463303615093,1.0,0.9999623819734417,1.0,0.2632509498551706,0.7057706052740473,-3.576210386106565,0.7757385769924954,0.7764605300655457,0.775206611570248,53444.55200692172,0.6863954201206319,0.8120227212880412,42815.65493736599,0.7244203865647716,0.8541549110333672,44095.062295409465,0.7178484079709356,0.8430575931986608
../output/ACSIncome/privacy/Synthetic/tvae_3_syn.json,0.23715634644031525,0.21687236428260803,0.0,0.5612484216690063,0.2336844801902771,0.2165358066558838,0.1768127679824829,0.3316623866558075,0.9230769230769231,0.053981868111198886,0.0,0.4201557386299515,0.4094226327944573,0.7914456607606365,0.865311778290993,0.9688898920362637,1.0,0.9986833690704585,1.0,0.13433397283978482,0.8941052552383102,-3.841861845409034,0.9683480573762705,0.9692789968652038,0.9667141635793673,48044.23150133544,0.6791823832118713,0.8374148892149118,38719.84739118986,0.7270568803982541,0.8684121430989731,41443.50140942179,0.6851661388536727,0.82891321521273
../output/ACSIncome/privacy/Synthetic/ctgan_1_syn.json,0.19607651233673096,0.19767461717128754,0.0,0.5050757527351379,0.19595211744308472,0.19767461717128754,0.094050832092762,0.2679505944252014,0.975609756097561,0.11541210548094646,0.024769827545917653,0.63803934845578,0.6740664579146609,0.9307828311326788,1.0,0.9948463303615093,1.0,0.9999623819734417,1.0,0.2631004777489373,0.704698491517135,-3.5803092300564927,0.7749976251543649,0.7771444856084354,0.7715588486748362,53697.541962908625,0.6802639051487956,0.8051010044013092,43287.32301094684,0.72179615309056,0.8543430011661588,44465.81864433847,0.714897052558499,0.8429447391189858
../output/ACSIncome/privacy/Synthetic/ddpm_1_syn.json,0.32242316007614136,0.3307381868362427,0.0,0.6002569794654846,0.3247692286968231,0.3307381868362427,0.19793252646923065,0.43338072299957275,0.9230769230769231,0.009968777037956589,0.0,0.12940601136064403,0.03853185206018844,0.3902117894895234,0.36352130502039093,0.7542790505210096,0.8171846435100548,0.9883007937403604,1.0,0.03415716811496069,0.9639055035172854,-8.835090918573293,0.9766125201861878,0.9776574522656027,0.97606155599886,65620.16235940263,0.6492970395170824,0.7599969905578753,54170.52586991688,0.6503459184485034,0.7710566903660234,55463.635676833524,0.6584191630153542,0.7520595869540684
../output/ACSIncome/privacy/Synthetic/tvae_2_syn.json,0.23777198791503906,0.21724143624305725,0.0,0.5591196417808533,0.23358634114265442,0.21662412583827972,0.1768127679824829,0.3334839642047882,0.9230769230769231,0.05304141744724072,0.0,0.4147387428055524,0.40606172101365956,0.7900161757514201,0.8648760520627329,0.969378926381522,1.0,0.9987209870970168,1.0,0.13689199864575105,0.8938419290524019,-3.845260865907327,0.9675691080079795,0.9693929894556854,0.9663721858079225,49117.6366850995,0.6784609117637316,0.8289884512658466,38771.4980250536,0.728011578384405,0.8659293533461234,41512.655297114514,0.6905043048384384,0.8329007260279125
../output/ACSIncome/privacy/Synthetic/tvae_1_syn.json,0.23854684829711914,0.2183668166399002,0.0,0.5347762703895569,0.23483458161354065,0.21687236428260803,0.1768127679824829,0.3322770893573761,0.9230769230769231,0.053154271526915695,0.0,0.4172591505849603,0.40726048249458,0.7803483429259301,0.8524839706628534,0.9670466087349058,1.0,0.9988714592032502,1.0,0.13361923033517661,0.8948576157694768,-3.8429102302604177,0.9681580697254678,0.9683670561413508,0.9680250783699059,49003.98886506414,0.6777448469287788,0.8306812624609713,39324.6827069932,0.7247764265109291,0.8652146108415153,41368.6508598079,0.6831801775330895,0.8116465410224579
../output/ACSIncome/privacy/Synthetic/ddpm_2_syn.json,0.3177637755870819,0.3231595754623413,0.0,0.6098922491073608,0.3187198042869568,0.32205262780189514,0.1977713704109192,0.4330126941204071,0.95,0.013241545348531015,0.0,0.1323402174321935,0.049154358663746914,0.4065380130158372,0.38876205563062016,0.7783545875183387,0.8492754973675628,0.9878493774216605,1.0,0.033668133769702444,0.9635481322649814,-8.857637663835156,0.9774484658497197,0.9783414078084924,0.9762325448845826,64301.372757025165,0.6428015191516654,0.7544671406538013,52461.997457021396,0.6603075139551412,0.7944551028853026,57118.63942298843,0.6475555544337891,0.7425422262348117
../output/ACSIncome/privacy/Synthetic/ctgan_2_syn.json,0.1957145482301712,0.19767461717128754,0.0,0.5309189558029175,0.19586151838302612,0.19767461717128754,0.094050832092762,0.26755911111831665,0.975609756097561,0.11744347891509611,0.0246601031411158,0.6334875672422224,0.6677918424753868,0.9334160929917616,1.0,0.994244441936576,1.0,0.999887145920325,1.0,0.2642290185456871,0.7049430086897641,-3.5644216451151536,0.7774674646148,0.7786263892846965,0.7764605300655457,53190.18560734304,0.6741972120019433,0.8075461761276004,42058.30232855586,0.7294683644024609,0.8641613060978821,43702.424715825415,0.7188613473330212,0.8492645675807847
../output/ACSIncome/privacy/Synthetic/ctgan_4_syn.json,0.1959133893251419,0.19767461717128754,0.0,0.4847679138183594,0.1963452249765396,0.19767461717128754,0.0953303724527359,0.26755911111831665,0.975609756097561,0.11605161193243803,0.020693538548167613,0.6366850994996802,0.67012341044531,0.9298047624421623,1.0,0.9947334762818343,1.0,1.0,1.0,0.262724297483354,0.7054696610615807,-3.5785928930286284,0.7765745226560273,0.7801652892561983,0.7701909375890567,50666.2474513787,0.6820634807124728,0.8184177858029568,41356.57755708536,0.7326125880858543,0.8704058985065644,43240.18617122426,0.7199519920455616,0.8485874431027348
../output/ACSIncome/privacy/Synthetic/tvae_0_syn.json,0.23789207637310028,0.21724143624305725,0.0,0.5612484216690063,0.23408585786819458,0.21662412583827972,0.1768127679824829,0.3319398760795593,0.9230769230769231,0.05296618139412406,0.0,0.4203438287627431,0.41107467787373575,0.7873076778392205,0.8615896180667806,0.9687770379565888,1.0,0.9987586051235752,1.0,0.13666629048640108,0.8927133882556522,-3.842808031747154,0.9663911845730028,0.9666571672841265,0.9659732117412368,48318.10051536696,0.6778530025322786,0.835947786179137,38981.36229921378,0.7278882263032284,0.8701049542940977,42284.69316476258,0.6843173526242243,0.8250761765037806
../output/ACSIncome/privacy/Synthetic/ddpm_4_syn.json,0.3210740089416504,0.33071890473365784,0.0,0.6060790419578552,0.3231199085712433,0.33071890473365784,0.1981579214334488,0.43338072299957275,0.95,0.011623970206522966,0.0,0.12349998119098672,0.030575876946163948,0.3946130985968476,0.3685518664415682,0.7593198660798255,0.8232039017069969,0.9864951284655606,1.0,0.03261482902606929,0.9653161795132228,-8.840398917261645,0.9778474399164053,0.9783414078084924,0.9772014819036763,68491.64217733138,0.6255354331136397,0.7343414964450965,53249.02891321518,0.6613201294060498,0.7940036865666027,54831.20418438762,0.6567480831120065,0.7655644584885077
../output/ACSIncome/privacy/Synthetic/ctgan_3_syn.json,0.1954510509967804,0.19767461717128754,0.0,0.5083674192428589,0.19576625525951385,0.19767461717128754,0.094050832092762,0.2671058773994446,0.95,0.11879772787119587,0.02497539946581697,0.639544069518113,0.6736329131718288,0.9324756423278034,1.0,0.994695858255276,1.0,0.9999623819734417,1.0,0.26483090697062034,0.70413422111876,-3.5726238038981033,0.7749406288591242,0.7779994300370476,0.7725277856939299,54693.27359590716,0.6739659035070613,0.7990821201519769,43591.13773464244,0.719270128822213,0.849979310085393,44199.80837374229,0.7159636768069522,0.8461422713764436
../output/ACSIncome/privacy/Synthetic/ddpm_3_syn.json,0.32320788502693176,0.3307960331439972,0.0,0.5864759683609009,0.3254658579826355,0.3307960331439972,0.19793252646923065,0.43324825167655945,0.9230769230769231,0.012827747056389421,0.0,0.12425234172215326,0.03547092317744796,0.3782868750705338,0.3506487445160086,0.7615017116202084,0.8260991318958275,0.986532746492119,1.0,0.032765301132302596,0.9652409434601061,-8.838126395173102,0.977258478198917,0.9785693929894557,0.9763465374750642,65690.63785125832,0.640155778587509,0.7577022909378174,51557.19076101269,0.6705806123032649,0.7983673776473686,54672.90454364672,0.66247207609109,0.7570251664597675
../output/ACSIncome/privacy/input/train.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9910469096791182,0.0,-3.566974099866742,0.18820176688515244,0.19538330008549445,0.18312909660872043,120.88515216491743,0.9991385109479078,0.9994357296016251,27906.358454651476,0.8091448394924217,0.9225068652898469,13932.126892462373,0.8931714700550449,0.969830342700222
