path,nearest_neighbor_distance_mean,nearest_neighbor_distance_median,nearest_neighbor_distance_min,nearest_neighbor_distance_max,nearest_neighbor_distance_mean_1090percentile,nearest_neighbor_distance_median_1090percentile,nearest_neighbor_distance_min_1090percentile,nearest_neighbor_distance_max_1090percentile,relational_similarity,close_value_ratio_0.1,close_value_ratio_1090percentile_0.1,close_value_ratio_0.2,close_value_ratio_1090percentile_0.2,close_value_ratio_0.3,close_value_ratio_1090percentile_0.3,close_value_ratio_0.4,close_value_ratio_1090percentile_0.4,close_value_ratio_0.5,close_value_ratio_1090percentile_0.5,similarity_ratio,nearest_neighbor_accuracy,gmm_log_likelihood,detection_rate_xgb_mean,detection_rate_xgb_max,detection_rate_xgb_min,all_ml_aia__match_error__WKHP,all_ml_aia__match_error__COW,all_ml_aia__match_error__SCHL,all_ml_aia__match_error__RAC1P,all_ml_aia__match_error__AGEP,all_ml_aia__match_error__MAR,all_ml_aia__match_error__PINCP,all_ml_aia__match_error__SEX,all_ml_aia__range_overlap__WKHP,all_ml_aia__range_overlap__COW,all_ml_aia__range_overlap__SCHL,all_ml_aia__range_overlap__RAC1P,all_ml_aia__range_overlap__AGEP,all_ml_aia__range_overlap__MAR,all_ml_aia__range_overlap__PINCP,all_ml_aia__range_overlap__SEX,all_ml_aia__guess_in_range__WKHP,all_ml_aia__guess_in_range__COW,all_ml_aia__guess_in_range__SCHL,all_ml_aia__guess_in_range__RAC1P,all_ml_aia__guess_in_range__AGEP,all_ml_aia__guess_in_range__MAR,all_ml_aia__guess_in_range__PINCP,all_ml_aia__guess_in_range__SEX,generalization_aia__match_error_generalization__COW,generalization_aia__match_error_generalization__SCHL,generalization_aia__match_error_generalization__RAC1P,generalization_aia__match_error_generalization__AGEP,generalization_aia__match_error_generalization__MAR,generalization_aia__match_error_generalization__SEX
../output/ACSIncome/privacy/Synthetic/tvae_4_syn.json,0.2177487313747406,0.20557884871959686,0.0003356418455950916,0.5005713105201721,0.2150716930627823,0.20557884871959686,0.15864136815071106,0.3043481707572937,0.9230769230769231,0.049505322950758004,0.0,0.4846330361509235,0.4807900305666588,0.8918105556182523,0.9897954385139901,0.9930406650867095,1.0,0.9999623819734417,1.0,0.1482150246398074,0.894312154384381,-15.159951713735778,0.9756625819321744,0.9767455115417498,0.974294670846395,13.961395251880939,0.561712372568935,0.1331678140164767,0.4423879923259226,11.775414142078406,0.6248730391603656,38394.60402667525,0.6088477598465184,0.44123186942271575,0.0,0.0,0.0,0.5398266666236643,0.0,0.7064548338292536,0.0,0.5447090245645714,0.1626929491278322,0.11644660121130046,0.44281119512470374,0.6981153368694278,0.4922506865289847,0.8622427867434075,0.5,0.561712372568935,0.1331678140164767,0.4423879923259226,0.023436030545837566,0.6248730391603656,0.6088477598465184
../output/ACSIncome/privacy/Synthetic/ctgan_0_syn.json,0.18374815583229065,0.17908529937267303,0.001082445029169321,0.4585583209991455,0.18337826430797577,0.17908529937267303,0.10257725417613983,0.24817486107349396,0.975609756097561,0.09513598916600835,0.0,0.7057517962607681,0.7572066776393134,0.9672723168942557,1.0,0.9993981115750667,1.0,1.0,1.0,0.25892487680096304,0.721043524056728,-18.33898491011142,0.8080174788638739,0.8102593331433456,0.8054716443431177,10.345219358472518,0.5042320279878117,0.21675506902907873,0.7031185344016853,11.694593131930109,0.6164089831847421,43498.160709778174,0.6216755069029078,0.5821644304121228,0.0,0.0,0.0,0.6183767072875632,0.0,0.7215724868245769,0.0,0.7059775044201181,0.1563931836135367,0.17169807771884288,0.6990181695068277,0.7026671180829853,0.4638960990106459,0.8486250611292931,0.5,0.5042320279878117,0.21675506902907873,0.7031185344016853,0.03381860587593575,0.6164089831847421,0.6216755069029078
../output/ACSIncome/privacy/Synthetic/tvae_3_syn.json,0.21778380870819092,0.20642946660518646,0.0,0.5019977688789368,0.21500784158706665,0.20642946660518646,0.15871183574199677,0.30331432819366455,0.9230769230769231,0.047662039649399995,0.0,0.483993529699432,0.4799905948742064,0.8934657487868186,0.9918645661885728,0.9930406650867095,1.0,0.9999623819734417,1.0,0.14599556107286613,0.8960613926193431,-15.135355450976807,0.9774674646147999,0.9787403818751781,0.9768025078369906,13.89139878920984,0.5717940036865666,0.15871045404958056,0.5078057405108528,12.903350339769775,0.622615957566866,40328.98270190747,0.6262272881164654,0.4294179565600316,0.0,0.0,0.0,0.5078825714913219,0.0,0.7057782120532031,0.0,0.54294097731633,0.1670741952876546,0.12933077530752737,0.5076740774178986,0.6548169883007937,0.48147312192002406,0.839747206861528,0.5,0.5717940036865666,0.15871045404958056,0.5078057405108528,0.022157017642854455,0.622615957566866,0.6262272881164654
../output/ACSIncome/privacy/Synthetic/ctgan_1_syn.json,0.184552401304245,0.17956312000751495,0.0005594030953943729,0.4672681391239166,0.184249609708786,0.17956312000751495,0.10430613905191422,0.2498771995306015,0.975609756097561,0.09159989466952563,0.0,0.6991310235865027,0.7489301669409828,0.9664071022834142,1.0,0.9993228755219501,1.0,1.0,1.0,0.2565173231012301,0.7215701764285445,-18.396365790306568,0.8081884677495963,0.8097463664861784,0.8054716443431177,10.529881454930502,0.5081819207764361,0.20908099161118007,0.6926983410450288,11.68652607945015,0.6102020088026182,43511.054489876355,0.6197569875484332,0.576964323225493,0.0,0.0,0.0,0.6186001359709202,0.0,0.7205470553363743,0.0,0.7002595643832524,0.15531229231709534,0.16502087800473988,0.6887672572696837,0.7028175901892186,0.4621374562690441,0.8472708121731934,0.5,0.5081819207764361,0.20908099161118007,0.6926983410450288,0.03167437836211112,0.6102020088026182,0.6197569875484332
../output/ACSIncome/privacy/Synthetic/ddpm_1_syn.json,0.2947656214237213,0.29829922318458557,0.004195522982627153,0.5423362255096436,0.2967829406261444,0.29829922318458557,0.1805560439825058,0.3907855153083801,0.9230769230769231,0.00741075123199037,0.0,0.16051611932438023,0.0756172113802022,0.510702328555844,0.5133787914413356,0.9337922732573449,1.0,0.9988338411766918,1.0,0.03205055862769439,0.9660497310311101,-25.552191613998886,0.9811152275102119,0.9815332003419778,0.980564263322884,12.534219520553927,0.6266787044351654,0.12786367227175263,0.7640973554527329,15.726658380429466,0.5567844110897943,54273.633045782124,0.5311665350035737,0.3796295028461258,0.0,0.0,0.0,0.4752954020714118,0.0,0.663688136187042,0.0,0.6132490689538427,0.16643468883615528,0.11471617198961742,0.7640221193996163,0.5594552909754354,0.4077041718391453,0.7567618402738593,0.5,0.6266787044351654,0.12786367227175263,0.7640973554527329,0.0182823609073468,0.5567844110897943,0.5311665350035737
../output/ACSIncome/privacy/Synthetic/tvae_2_syn.json,0.21853527426719666,0.20698489248752594,0.0,0.5172631144523621,0.21557675302028656,0.20698489248752594,0.1589251160621643,0.3073729872703552,0.9230769230769231,0.04698491517135011,0.0,0.4806455253357409,0.47580531389607333,0.8897791821841026,0.9872560545497296,0.9929278110070345,1.0,0.9999247639468833,1.0,0.1462588872587744,0.8959485385396682,-15.169747540753344,0.9753016053956493,0.9763465374750642,0.9742376745511542,12.76216623717796,0.5443328442989881,0.15938757852763044,0.41097694014971975,11.827799036249647,0.6238573524432909,37708.06119682204,0.6126847985554678,0.46595079770407666,0.0,0.0,0.0,0.5360622231153306,0.0,0.7214728806702566,0.0,0.5865026520708724,0.16254247702159721,0.12852198773652335,0.41108979422939473,0.6962344355415115,0.48152954895986155,0.8608885377873077,0.5,0.5443328442989881,0.15938757852763044,0.41097694014971975,0.02317270435992928,0.6238573524432909,0.6126847985554678
../output/ACSIncome/privacy/Synthetic/tvae_1_syn.json,0.2188287079334259,0.20730099081993103,0.0,0.5422415733337402,0.21594123542308807,0.20730099081993103,0.1587054282426834,0.30615895986557007,0.9230769230769231,0.047097769251025094,0.0,0.48215024639807397,0.47768633905478486,0.8892149117857278,0.9865506701152128,0.9921378324493098,1.0,0.9999623819734417,1.0,0.1449798743557913,0.8967761351239514,-15.137356294375241,0.976270542414743,0.9776574522656027,0.9748646337988031,12.954390755834753,0.5648722867998345,0.14701124778994093,0.5125456118572019,11.721649460153422,0.6309671594628146,37983.71345601421,0.6146033179099425,0.46028494015305776,0.0,0.0,0.0,0.539819726238527,0.0,0.7244283991346213,0.0,0.5889478237971636,0.1664597675205359,0.12462852198773652,0.5127148929767145,0.7021028476846105,0.4956645224391528,0.8628070571417823,0.5,0.5648722867998345,0.14701124778994093,0.5125456118572019,0.02512884174096227,0.6309671594628146,0.6146033179099425
../output/ACSIncome/privacy/Synthetic/ddpm_2_syn.json,0.2906384766101837,0.2961169481277466,0.01817299798130989,0.5493085980415344,0.292275995016098,0.2961169481277466,0.18057475984096527,0.38889849185943604,0.95,0.010495429409773164,0.0,0.1681901967422789,0.08521043968963085,0.536621148854531,0.545779449800141,0.9380807282849941,1.0,0.9989090772298085,1.0,0.031072489937177896,0.9661625851107851,-25.59729159181463,0.9811152275102119,0.9813622114562554,0.9806782559133657,12.296531859101584,0.6374750780574051,0.11879772787119587,0.7684610465334989,16.169851057363438,0.5635180378437347,57481.21402313232,0.5603957416393937,0.3803186945795599,0.0,0.0,0.0,0.466723699430055,0.0,0.6425981001804711,0.0,0.6249858932400406,0.16808486626784547,0.11471617198961742,0.768479855546778,0.5400820072978971,0.4075254862129933,0.737049994357296,0.5,0.6374750780574051,0.11879772787119587,0.7684610465334989,0.01843283301358011,0.5635180378437347,0.5603957416393937
../output/ACSIncome/privacy/Synthetic/ctgan_2_syn.json,0.18411819636821747,0.17960038781166077,0.00027970154769718647,0.47495853900909424,0.18399597704410553,0.17960038781166077,0.10258831828832626,0.24858520925045013,0.975609756097561,0.09528646127224166,0.0,0.6976263025241696,0.7470491417822713,0.9663694842568559,1.0,0.9992852574953918,1.0,1.0,1.0,0.25903773088063803,0.7198397472068616,-18.311165688791284,0.8103543269687472,0.8187517811342263,0.8050156739811912,10.489809483499366,0.5006206974382124,0.21224090584207952,0.7083474400932928,11.566698576649474,0.6178384681939585,43381.55718426048,0.6236692623104992,0.578984477324785,0.0,0.0,0.0,0.6223618554526209,0.0,0.7210749356240523,0.0,0.7033442425610352,0.15587656271546899,0.1677763984501373,0.7041436256253997,0.7095135989166008,0.46659519241620584,0.8511830869352593,0.5,0.5006206974382124,0.21224090584207952,0.7083474400932928,0.03295339126509423,0.6178384681939585,0.6236692623104992
../output/ACSIncome/privacy/Synthetic/ctgan_4_syn.json,0.183949813246727,0.17926114797592163,0.0009789554169401526,0.45499810576438904,0.18365885317325592,0.17926114797592163,0.10177361220121384,0.24925599992275238,0.975609756097561,0.09705450852048302,0.0,0.6999210021442275,0.7499177051493063,0.9662942482037392,1.0,0.9992476394688334,1.0,1.0,1.0,0.260768160102321,0.7189933416092992,-18.373178713402964,0.8121592096513728,0.8141920775149615,0.8109432886862354,10.495804189912569,0.5002821351991874,0.21397133506376256,0.6977767746304029,11.623468023522669,0.615017116202084,43207.295701905896,0.61892939096415,0.5789154277840637,0.0,0.0,0.0,0.6203677262444913,0.0,0.7209231922203694,0.0,0.7018771395252605,0.15554301621331934,0.1680773426626039,0.6938550953616973,0.7018019034721439,0.4656547417522477,0.849640747846368,0.5,0.5002821351991874,0.21397133506376256,0.6977767746304029,0.033066245344769214,0.615017116202084,0.61892939096415
